65835,1633219,1
65835,1633220,2
65836,1633410,1
65836,1633411,2
65836,1633412,3
65836,1633413,4
65836,1633414,5
65837,1632747,1
65837,1632748,2
65837,1632749,3
65838,1628568,1
65838,1628569,2
65840,1790467,1
65840,1790469,2
65840,1790471,3
65841,1633331,1
65841,1633332,2
65841,1633333,3
65841,1633334,4
65842,1633282,1
65842,1633283,2
65842,1633284,3
65843,1784215,1
65843,1784216,2
65844,1628665,1
65844,1628666,2
65847,1636725,1
65847,1636726,2
65847,1636727,3
65847,1636728,4
65847,1636729,5
65847,1636730,6
65847,1636731,7
65847,1636732,8
65847,1636733,9
65847,1636734,10
65848,1636300,1
65848,1636301,2
65848,1636302,3
65849,1634819,1
65849,1634820,2
65849,1634831,3
65850,1634400,1
65850,1634401,2
65851,1634394,1
65851,1634395,2
65852,1636534,1
65852,1636535,2
65852,1636536,3
65852,1636537,4
65852,1636538,5
65852,1636539,6
65852,1636540,7
65852,1636542,8
65853,1624823,1
65853,1624824,2
65853,1624862,3
65853,1624863,4
65854,1625022,1
65854,1625023,2
65856,1625282,1
65856,1625283,2
65856,1625284,3
65856,1625285,4
65856,1625286,5
65856,1625287,6
65856,1625288,7
65857,1625306,1
65857,1625307,2
65857,1625308,3
65857,1625310,4
65858,1625275,1
65858,1625276,2
65859,1637247,1
65859,1637248,2
65859,1637249,3
65859,1637250,4
65860,1625195,1
65861,1625268,1
65861,1625269,2
65863,1634398,1
65865,1637612,1
65865,1637613,2
65866,1639358,1
65866,1639359,2
65867,1637681,1
65868,1637747,1
65868,1637748,2
65868,1637762,3
65869,1790349,1
65869,1790350,2
65869,1790362,3
65870,1646796,1
65870,1646797,2
65871,1639290,1
65873,1646196,1
65873,1646197,2
65874,1646146,1
65874,1646147,2
65875,1646193,1
65876,1646181,1
65876,1646182,2
65877,1643013,1
65879,1645798,1
65879,1645799,2
65880,1645786,1
65881,1784217,1
65881,1787438,2
65882,1645957,1
65883,1646049,1
65883,1646050,2
65883,1646053,3
65883,1646055,4
65883,1787432,5
65884,1646016,1
65884,1646020,2
65884,1787434,3
65884,1787436,4
65885,1646032,1
65885,1646033,2
65885,1646034,3
65885,1646035,4
65885,1646038,5
65885,1787433,6
65886,1645777,1
65886,1645778,2
65886,1645779,3
65886,1645780,4
65887,1784221,1
65887,1784224,2
65887,1787437,3
65888,1645874,1
65888,1645875,2
65889,1645738,1
65889,1645739,2
65889,1645740,3
65889,1645741,4
65889,1645744,5
65890,1645901,1
65890,1645902,2
65891,1645932,1
65891,1645933,2
65892,1645803,1
65893,1645962,1
65894,1645784,1
65894,1645785,2
65895,1645978,1
65895,1645979,2
65895,1645980,3
65896,1645696,1
65897,1645919,1
65898,1645923,1
65898,1645924,2
65899,1645861,1
65901,1632043,1
65901,1632044,2
65901,1632045,3
65901,1632046,4
65901,1632047,5
65901,1632048,6
65901,1632049,7
65901,1632050,8
65902,1632072,1
65902,1632073,2
65902,1632074,3
65902,1632075,4
65903,1632100,1
65904,1632098,1
65904,1632099,2
65905,1632035,1
65905,1632036,2
65905,1632037,3
65906,1632082,1
65906,1632083,2
65906,1632084,3
65907,1632051,1
65907,1632052,2
65907,1632053,3
65909,1630143,1
65909,1630144,2
65910,1629875,1
65910,1629876,2
65911,1630419,1
65911,1630420,2
65912,1630259,1
65912,1630260,2
65912,1630261,3
65912,1630262,4
65912,1630265,5
65913,1630239,1
65914,1630077,1
65914,1630078,2
65914,1630079,3
65914,1630080,4
65915,1630268,1
65915,1630269,2
65915,1630270,3
65915,1630271,4
65915,1630272,5
65916,1637493,1
65916,1637494,2
65916,1637497,3
65916,1637498,4
65916,1637499,5
65916,1787444,6
65917,1630237,1
65918,1630245,1
65918,1630246,2
65918,1630247,3
65918,1630248,4
65919,1630201,1
65919,1630202,2
65919,1630203,3
65919,1630204,4
65919,1792739,5
65920,1630326,1
65920,1630327,2
65920,1630328,3
65920,1630329,4
65920,1630330,5
65920,1630331,6
65921,1631048,1
65921,1631049,2
65921,1631050,3
65922,1630242,1
65924,1642119,1
65924,1642120,2
65925,1646201,1
65925,1646202,2
65926,1642045,1
65926,1642046,2
65926,1642047,3
65927,1642423,1
65927,1642425,2
65927,1787445,3
65928,1641945,1
65928,1641946,2
65929,1641960,1
65929,1641961,2
65930,1642312,1
65930,1642313,2
65930,1642314,3
65931,1642622,1
65931,1642623,2
65932,1642018,1
65932,1642019,2
65933,1642570,1
65933,1642571,2
65933,1642572,3
65935,1642961,1
65935,1642962,2
65936,1642921,1
65936,1642922,2
65937,1642972,1
65937,1642973,2
65938,1642970,1
65938,1642971,2
65939,1643000,1
65939,1643001,2
65939,1643002,3
65939,1643003,4
65939,1643004,5
65940,1642867,1
